timestamp,frequency,wavelength,amplitude,channel1_intensity,channel2_intensity,channel3_intensity,channel4_intensity
2026-03-10T12:02:48.076801,66,734.1799175220419,1.0,0.0073873112413333315,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,2.0,0.0019105339943333438,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,3.0,0.00303556724800001,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,4.0,0.00228872205,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,5.0,0.0037690173446666662,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,6.0,0.005347447139999999,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,7.0,0.007216721050000001,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,8.0,0.00954133714,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,9.0,0.012532451139999998,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,10.0,0.014994204911333336,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,11.0,0.01793228234,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,12.0,0.021728939739999998,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,13.0,0.025029153211333335,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,14.0,0.02887279614,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,15.0,0.03322969394,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,16.0,0.037314384539999995,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,17.0,0.041183841539999995,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,18.0,0.04660899433999999,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,19.0,0.05135837693999999,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,20.0,0.05618372434,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,21.0,0.06118948813999999,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,22.0,0.06670801434,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,23.0,0.07198915053999999,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,24.0,0.07734783413999999,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,25.0,0.08214311213999999,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,26.0,0.08852415534,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,27.0,0.09342230234,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,28.0,0.09920828793999999,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,29.0,0.10510347293999998,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,30.0,0.11037353093999999,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,31.0,0.11610254294,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,32.0,0.12171760773999998,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,33.0,0.12654295514,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,34.0,0.13208047254,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,35.0,0.13720018354,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,36.0,0.14202711354,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,37.0,0.14679548733999997,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,38.0,0.15107167253999998,,,
2026-03-10T12:02:48.076801,66,734.1799175220419,39.0,0.15605053214,,,
